node	age
Oryzias_latipes	0
Oreochromis_niloticus	0
Gadus_morhua	0
Astyanax_mexicanus	1.00000079328311e-08
Danio_rerio	1.00000079328311e-08
Xenopus_tropicalis	0
Anolis_carolinensis	0
Gallus_gallus	0
Monodelphis_domestica	1.13686837721616e-13
Canis_lupus	1.13686837721616e-13
Bos_taurus	1.13686837721616e-13
Ovis_aries	1.13686837721616e-13
Sus_scrofa	1.13686837721616e-13
Oryctolagus_cuniculus	1.13686837721616e-13
Chinchilla_lanigera	5.6843418860808e-14
Rattus_norvegicus	5.6843418860808e-14
Mus_musculus	5.6843418860808e-14
Callithrix_jacchus	1.13686837721616e-13
Macaca_mulatta	1.13686837721616e-13
Homo_sapiens	1.13686837721616e-13
Ornithorhynchus_anatinus	1.00000647762499e-08
	435.32407462
10	229.90276097
13	148
14	119.36353222
11	152.58543177
47	351.75848322
51	311.90392137
19	279.65697667
48	176.92749822
40	158.59758758
42	96.4623891700001
8	77.7549564100001
22	61.9659885200001
9	24.6000000000001
43	89.8231874200001
29	82.1407988900001
30	72.8767081600001
6	20.8874174000001
35	43.1512963500001
27	29.4415468200001
