"event"	"gn_node"	"lower_sp_node"	"upper_sp_node"	"lower_age"	"upper_age"	"spp"	"gn_node_num"
"D"	"n54"	"47"	"n170"	435.32407462	1000	NA	35
"D"	"n43"	"42"	"40"	435.32407462	1000	NA	39
"D"	"n27"	"42"	"40"	435.32407462	1000	NA	40
"D"	"n23"	"42"	"40"	435.32407462	1000	NA	41
"D"	"n17"	"42"	"40"	435.32407462	1000	NA	42
"D"	"n16"	"Oryctolagus_cuniculus"	"29"	435.32407462	1000	NA	47
"D"	"n52"	"Monodelphis_domestica"	"40"	435.32407462	1000	NA	58
"D"	"n50"	"Monodelphis_domestica"	"40"	435.32407462	1000	NA	59
"D"	"n48"	"Monodelphis_domestica"	"40"	435.32407462	1000	NA	60
"D"	"n46"	"Monodelphis_domestica"	"40"	435.32407462	1000	NA	61
"S(R)"	"n64"	"'Root'"	"'Root'"	435.32407462	435.32407462	"Gallus_gallus|Anolis_carolinensis|Xenopus_tropicalis|Ovis_aries|Bos_taurus|Sus_scrofa|Canis_lupus|Chinchilla_lanigera|Oryctolagus_cuniculus|Macaca_mulatta|Homo_sapiens|Callithrix_jacchus|Rattus_norvegicus|Mus_musculus|Monodelphis_domestica|Danio_rerio|Astyanax_mexicanus|Oryzias_latipes|Oreochromis_niloticus|Gadus_morhua"	34
"S"	"n4"	"'n47'"	"'n47'"	351.75848322	351.75848322	"Gallus_gallus|Anolis_carolinensis|Xenopus_tropicalis"	36
"S"	"n2"	"'n19'"	"'n19'"	279.65697667	279.65697667	"Gallus_gallus|Anolis_carolinensis"	37
"S"	"n53"	"'n40'"	"'n40'"	158.59758758	158.59758758	"Ovis_aries|Bos_taurus|Sus_scrofa|Canis_lupus|Chinchilla_lanigera|Oryctolagus_cuniculus|Macaca_mulatta|Homo_sapiens|Callithrix_jacchus|Rattus_norvegicus|Mus_musculus|Monodelphis_domestica"	38
"S"	"n13"	"'n42'"	"'n42'"	96.4623891700001	96.4623891700001	"Ovis_aries|Bos_taurus|Sus_scrofa|Canis_lupus|Chinchilla_lanigera"	43
"S"	"n11"	"'n8'"	"'n8'"	77.7549564100001	77.7549564100001	"Ovis_aries|Bos_taurus|Sus_scrofa|Canis_lupus"	44
"S"	"n9"	"'n22'"	"'n22'"	61.9659885200001	61.9659885200001	"Ovis_aries|Bos_taurus|Sus_scrofa"	45
"S"	"n7"	"'n9'"	"'n9'"	24.6000000000001	24.6000000000001	"Ovis_aries|Bos_taurus"	46
"S"	"n22"	"'n35'"	"'n35'"	43.1512963500001	43.1512963500001	"Macaca_mulatta|Homo_sapiens|Callithrix_jacchus"	48
"S"	"n20"	"'n27'"	"'n27'"	29.4415468200001	29.4415468200001	"Macaca_mulatta|Homo_sapiens"	49
"S"	"n26"	"'n6'"	"'n6'"	20.8874174000001	20.8874174000001	"Rattus_norvegicus|Mus_musculus"	50
"S"	"n42"	"'n42'"	"'n42'"	96.4623891700001	96.4623891700001	"Macaca_mulatta|Homo_sapiens|Callithrix_jacchus|Rattus_norvegicus|Mus_musculus|Oryctolagus_cuniculus|Sus_scrofa|Ovis_aries"	51
"S"	"n38"	"'n43'"	"'n43'"	89.8231874200001	89.8231874200001	"Macaca_mulatta|Homo_sapiens|Callithrix_jacchus|Rattus_norvegicus|Mus_musculus|Oryctolagus_cuniculus"	52
"S"	"n32"	"'n35'"	"'n35'"	43.1512963500001	43.1512963500001	"Macaca_mulatta|Homo_sapiens|Callithrix_jacchus"	53
"S"	"n30"	"'n27'"	"'n27'"	29.4415468200001	29.4415468200001	"Macaca_mulatta|Homo_sapiens"	54
"S"	"n37"	"'n29'"	"'n29'"	82.1407988900001	82.1407988900001	"Rattus_norvegicus|Mus_musculus|Oryctolagus_cuniculus"	55
"S"	"n35"	"'n6'"	"'n6'"	20.8874174000001	20.8874174000001	"Rattus_norvegicus|Mus_musculus"	56
"S"	"n41"	"'n22'"	"'n22'"	61.9659885200001	61.9659885200001	"Sus_scrofa|Ovis_aries"	57
"S"	"n63"	"'n10'"	"'n10'"	229.90276097	229.90276097	"Danio_rerio|Astyanax_mexicanus|Oryzias_latipes|Oreochromis_niloticus|Gadus_morhua"	62
"S"	"n57"	"'n11'"	"'n11'"	152.58543177	152.58543177	"Danio_rerio|Astyanax_mexicanus"	63
"S"	"n62"	"'n13'"	"'n13'"	148	148	"Oryzias_latipes|Oreochromis_niloticus|Gadus_morhua"	64
"S"	"n60"	"'n14'"	"'n14'"	119.36353222	119.36353222	"Oryzias_latipes|Oreochromis_niloticus"	65
